"ref_area.label","source.label","indicator.label","classif1.label","time","obs_value","note_indicator.label","note_source.label"
"Aruba","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: General - Individual consumption expenditure of households","2020M02",5.25,"Frequency: Monthly","Repository: International Monetary Fund"
"Aruba","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 1. Food and non-alcoholic beverages","2020M02",10.98,"Frequency: Monthly","Repository: International Monetary Fund"
"Aruba","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 2. Alcoholic beverages, tobacco and narcotics","2020M02",8.16,"Frequency: Monthly","Repository: International Monetary Fund"
"Aruba","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 3. Clothing and footwear","2020M02",-0.54,"Frequency: Monthly","Repository: International Monetary Fund"
"Aruba","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 4. Housing, water, electricity, gas and other fuels","2020M02",-0.92,"Frequency: Monthly","Repository: International Monetary Fund"
"Aruba","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 5. Furnishings, household equipment and routine household maintenance","2020M02",3.35,"Frequency: Monthly","Repository: International Monetary Fund"
"Aruba","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 6. Health","2020M02",0.12,"Frequency: Monthly","Repository: International Monetary Fund"
"Aruba","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 7. Transport","2020M02",5.41,"Frequency: Monthly","Repository: International Monetary Fund"
"Aruba","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 8. Communication","2020M02",-0.12,"Frequency: Monthly","Repository: International Monetary Fund"
"Aruba","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 9. Recreation and culture","2020M02",27.41,"Frequency: Monthly","Repository: International Monetary Fund"
"Aruba","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 10. Education","2020M02",0.17,"Frequency: Monthly","Repository: International Monetary Fund"
"Aruba","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 11. Restaurants and hotels","2020M02",3.63,"Frequency: Monthly","Repository: International Monetary Fund"
"Aruba","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 12. Miscellaneous goods and services","2020M02",2.69,"Frequency: Monthly","Repository: International Monetary Fund"
"Afghanistan","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: General - Individual consumption expenditure of households","2025M01",-0.84,"Frequency: Monthly","Repository: International Monetary Fund"
"Afghanistan","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 1. Food and non-alcoholic beverages","2025M01",-2.99,"Frequency: Monthly","Repository: International Monetary Fund"
"Afghanistan","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 2. Alcoholic beverages, tobacco and narcotics","2025M01",-2.59,"Frequency: Monthly","Repository: International Monetary Fund"
"Afghanistan","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 3. Clothing and footwear","2025M01",-1.36,"Frequency: Monthly","Repository: International Monetary Fund"
"Afghanistan","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 4. Housing, water, electricity, gas and other fuels","2025M01",8.62,"Frequency: Monthly","Repository: International Monetary Fund"
"Afghanistan","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 5. Furnishings, household equipment and routine household maintenance","2025M01",-3.16,"Frequency: Monthly","Repository: International Monetary Fund"
"Afghanistan","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 6. Health","2025M01",-0.03,"Frequency: Monthly","Repository: International Monetary Fund"
"Afghanistan","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 7. Transport","2025M01",-3.88,"Frequency: Monthly","Repository: International Monetary Fund"
"Afghanistan","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 8. Communication","2025M01",-3.17,"Frequency: Monthly","Repository: International Monetary Fund"
"Afghanistan","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 9. Recreation and culture","2025M01",-0.1,"Frequency: Monthly","Repository: International Monetary Fund"
"Afghanistan","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 10. Education","2025M01",-0.91,"Frequency: Monthly","Repository: International Monetary Fund"
"Afghanistan","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 11. Restaurants and hotels","2025M01",1.66,"Frequency: Monthly","Repository: International Monetary Fund"
"Afghanistan","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 12. Miscellaneous goods and services","2025M01",2.16,"Frequency: Monthly","Repository: International Monetary Fund"
"Angola","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: General - Individual consumption expenditure of households","2026M02",13.35,"Frequency: Monthly","Repository: International Monetary Fund"
"Angola","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 1. Food and non-alcoholic beverages","2026M02",13.55,"Frequency: Monthly","Repository: International Monetary Fund"
"Angola","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 2. Alcoholic beverages, tobacco and narcotics","2026M02",12.27,"Frequency: Monthly","Repository: International Monetary Fund"
"Angola","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 3. Clothing and footwear","2026M02",11.61,"Frequency: Monthly","Repository: International Monetary Fund"
"Angola","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 4. Housing, water, electricity, gas and other fuels","2026M02",16.06,"Frequency: Monthly","Repository: International Monetary Fund"
"Angola","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 5. Furnishings, household equipment and routine household maintenance","2026M02",12.31,"Frequency: Monthly","Repository: International Monetary Fund"
"Angola","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 6. Health","2026M02",14.24,"Frequency: Monthly","Repository: International Monetary Fund"
"Angola","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 7. Transport","2026M02",18.66,"Frequency: Monthly","Repository: International Monetary Fund"
"Angola","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 8. Communication","2026M02",6.48,"Frequency: Monthly","Repository: International Monetary Fund"
"Angola","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 9. Recreation and culture","2026M02",8.76,"Frequency: Monthly","Repository: International Monetary Fund"
"Angola","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 10. Education","2026M02",13.4,"Frequency: Monthly","Repository: International Monetary Fund"
"Angola","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 11. Restaurants and hotels","2026M02",9.62,"Frequency: Monthly","Repository: International Monetary Fund"
"Angola","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 12. Miscellaneous goods and services","2026M02",12.84,"Frequency: Monthly","Repository: International Monetary Fund"
"Anguilla","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: General - Individual consumption expenditure of households","2025M09",-2.42,"Frequency: Monthly","Repository: International Monetary Fund"
"Anguilla","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 1. Food and non-alcoholic beverages","2025M09",-4.03,"Frequency: Monthly","Repository: International Monetary Fund"
"Anguilla","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 2. Alcoholic beverages, tobacco and narcotics","2025M09",-9.86,"Frequency: Monthly","Repository: International Monetary Fund"
"Anguilla","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 3. Clothing and footwear","2025M09",2.08,"Frequency: Monthly","Repository: International Monetary Fund"
"Anguilla","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 4. Housing, water, electricity, gas and other fuels","2025M09",-2.17,"Frequency: Monthly","Repository: International Monetary Fund"
"Anguilla","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 5. Furnishings, household equipment and routine household maintenance","2025M09",0.53,"Frequency: Monthly","Repository: International Monetary Fund"
"Anguilla","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 6. Health","2025M09",1.84,"Frequency: Monthly","Repository: International Monetary Fund"
"Anguilla","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 7. Transport","2025M09",-7.85,"Frequency: Monthly","Repository: International Monetary Fund"
"Anguilla","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 8. Communication","2025M09",2.79,"Frequency: Monthly","Repository: International Monetary Fund"
"Anguilla","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 9. Recreation and culture","2025M09",-6.14,"Frequency: Monthly","Repository: International Monetary Fund"
"Anguilla","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 10. Education","2025M09",1.8,"Frequency: Monthly","Repository: International Monetary Fund"
"Anguilla","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 11. Restaurants and hotels","2025M09",-1.17,"Frequency: Monthly","Repository: International Monetary Fund"
"Anguilla","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 12. Miscellaneous goods and services","2025M09",-1.91,"Frequency: Monthly","Repository: International Monetary Fund"
"Albania","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: General - Individual consumption expenditure of households","2026M03",2.4,"Frequency: Monthly","Repository: International Monetary Fund"
"United Arab Emirates","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: General - Individual consumption expenditure of households","2025M12",2.05,"Frequency: Monthly","Repository: International Monetary Fund"
"Argentina","CPS - Consumer Price Index","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: General - Individual consumption expenditure of households","2026M02",33.05,"Frequency: Monthly","Repository: International Monetary Fund"
"Argentina","CPS - Consumer Price Index","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 1. Food and non-alcoholic beverages","2026M02",36.02,"Frequency: Monthly","Repository: International Monetary Fund"
"Argentina","CPS - Consumer Price Index","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 2. Alcoholic beverages, tobacco and narcotics","2026M02",23.29,"Frequency: Monthly","Repository: International Monetary Fund"
"Argentina","CPS - Consumer Price Index","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 3. Clothing and footwear","2026M02",15.06,"Frequency: Monthly","Repository: International Monetary Fund"
"Argentina","CPS - Consumer Price Index","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 4. Housing, water, electricity, gas and other fuels","2026M02",44.3,"Frequency: Monthly","Repository: International Monetary Fund"
"Argentina","CPS - Consumer Price Index","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 5. Furnishings, household equipment and routine household maintenance","2026M02",21.36,"Frequency: Monthly","Repository: International Monetary Fund"
"Argentina","CPS - Consumer Price Index","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 6. Health","2026M02",28.69,"Frequency: Monthly","Repository: International Monetary Fund"
"Argentina","CPS - Consumer Price Index","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 7. Transport","2026M02",33.07,"Frequency: Monthly","Repository: International Monetary Fund"
"Argentina","CPS - Consumer Price Index","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 8. Communication","2026M02",36.07,"Frequency: Monthly","Repository: International Monetary Fund"
"Argentina","CPS - Consumer Price Index","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 9. Recreation and culture","2026M02",27.92,"Frequency: Monthly","Repository: International Monetary Fund"
"Argentina","CPS - Consumer Price Index","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 10. Education","2026M02",50.65,"Frequency: Monthly","Repository: International Monetary Fund"
"Argentina","CPS - Consumer Price Index","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 11. Restaurants and hotels","2026M02",41.65,"Frequency: Monthly","Repository: International Monetary Fund"
"Argentina","CPS - Consumer Price Index","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 12. Miscellaneous goods and services","2026M02",33.68,"Frequency: Monthly","Repository: International Monetary Fund"
"Armenia","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: General - Individual consumption expenditure of households","2026M02",4.31,"Frequency: Monthly","Repository: International Monetary Fund"
"Armenia","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 1. Food and non-alcoholic beverages","2026M02",6.53,"Frequency: Monthly","Repository: International Monetary Fund"
"Armenia","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 2. Alcoholic beverages, tobacco and narcotics","2026M02",10.26,"Frequency: Monthly","Repository: International Monetary Fund"
"Armenia","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 3. Clothing and footwear","2026M02",0.57,"Frequency: Monthly","Repository: International Monetary Fund"
"Armenia","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 4. Housing, water, electricity, gas and other fuels","2026M02",0.54,"Frequency: Monthly","Repository: International Monetary Fund"
"Armenia","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 5. Furnishings, household equipment and routine household maintenance","2026M02",-0.14,"Frequency: Monthly","Repository: International Monetary Fund"
"Armenia","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 6. Health","2026M02",4.54,"Frequency: Monthly","Repository: International Monetary Fund"
"Armenia","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 7. Transport","2026M02",3.58,"Frequency: Monthly","Repository: International Monetary Fund"
"Armenia","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 8. Communication","2026M02",0.34,"Frequency: Monthly","Repository: International Monetary Fund"
"Armenia","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 9. Recreation and culture","2026M02",-0.36,"Frequency: Monthly","Repository: International Monetary Fund"
"Armenia","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 10. Education","2026M02",8.3,"Frequency: Monthly","Repository: International Monetary Fund"
"Armenia","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 11. Restaurants and hotels","2026M02",3.96,"Frequency: Monthly","Repository: International Monetary Fund"
"Armenia","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 12. Miscellaneous goods and services","2026M02",2.62,"Frequency: Monthly","Repository: International Monetary Fund"
"Antigua and Barbuda","CPS - Cost of Living Index","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: General - Individual consumption expenditure of households","2025M09",0.39,"Frequency: Monthly","Repository: International Monetary Fund"
"Antigua and Barbuda","CPS - Cost of Living Index","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 1. Food and non-alcoholic beverages","2025M09",0.31,"Frequency: Monthly","Repository: International Monetary Fund"
"Antigua and Barbuda","CPS - Cost of Living Index","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 2. Alcoholic beverages, tobacco and narcotics","2025M09",3.34,"Frequency: Monthly","Repository: International Monetary Fund"
"Antigua and Barbuda","CPS - Cost of Living Index","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 3. Clothing and footwear","2025M09",0.13,"Frequency: Monthly","Repository: International Monetary Fund"
"Antigua and Barbuda","CPS - Cost of Living Index","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 4. Housing, water, electricity, gas and other fuels","2025M09",1.2,"Frequency: Monthly","Repository: International Monetary Fund"
"Antigua and Barbuda","CPS - Cost of Living Index","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 5. Furnishings, household equipment and routine household maintenance","2025M09",-3.27,"Frequency: Monthly","Repository: International Monetary Fund"
"Antigua and Barbuda","CPS - Cost of Living Index","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 6. Health","2025M09",7.99,"Frequency: Monthly","Repository: International Monetary Fund"
"Antigua and Barbuda","CPS - Cost of Living Index","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 7. Transport","2025M09",-1.06,"Frequency: Monthly","Repository: International Monetary Fund"
"Antigua and Barbuda","CPS - Cost of Living Index","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 8. Communication","2025M09",1.05,"Frequency: Monthly","Repository: International Monetary Fund"
"Antigua and Barbuda","CPS - Cost of Living Index","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 9. Recreation and culture","2025M09",-2.7,"Frequency: Monthly","Repository: International Monetary Fund"
"Antigua and Barbuda","CPS - Cost of Living Index","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 11. Restaurants and hotels","2025M09",4.36,"Frequency: Monthly","Repository: International Monetary Fund"
"Antigua and Barbuda","CPS - Cost of Living Index","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 12. Miscellaneous goods and services","2025M09",0.1,"Frequency: Monthly","Repository: International Monetary Fund"
"Australia","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: General - Individual consumption expenditure of households","2025M12",3.76,"Frequency: Monthly","Repository: International Monetary Fund"
"Austria","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: General - Individual consumption expenditure of households","2026M01",1.98,"Frequency: Monthly","Repository: International Monetary Fund"
"Azerbaijan","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: General - Individual consumption expenditure of households","2025M12",5.19,"Frequency: Monthly","Repository: International Monetary Fund"
"Azerbaijan","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 1. Food and non-alcoholic beverages","2025M12",6.54,"Frequency: Monthly","Repository: International Monetary Fund"
"Azerbaijan","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 2. Alcoholic beverages, tobacco and narcotics","2025M12",3.56,"Frequency: Monthly","Repository: International Monetary Fund"
"Azerbaijan","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 3. Clothing and footwear","2025M12",1.77,"Frequency: Monthly","Repository: International Monetary Fund"
"Azerbaijan","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 4. Housing, water, electricity, gas and other fuels","2025M12",9.13,"Frequency: Monthly","Repository: International Monetary Fund"
"Azerbaijan","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 5. Furnishings, household equipment and routine household maintenance","2025M12",5.67,"Frequency: Monthly","Repository: International Monetary Fund"
"Azerbaijan","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 6. Health","2025M12",4.92,"Frequency: Monthly","Repository: International Monetary Fund"
"Azerbaijan","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 7. Transport","2025M12",3.05,"Frequency: Monthly","Repository: International Monetary Fund"
"Azerbaijan","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 8. Communication","2025M12",4.39,"Frequency: Monthly","Repository: International Monetary Fund"
"Azerbaijan","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 9. Recreation and culture","2025M12",4.77,"Frequency: Monthly","Repository: International Monetary Fund"
"Azerbaijan","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 10. Education","2025M12",4.86,"Frequency: Monthly","Repository: International Monetary Fund"
"Azerbaijan","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 11. Restaurants and hotels","2025M12",4.82,"Frequency: Monthly","Repository: International Monetary Fund"
"Azerbaijan","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 12. Miscellaneous goods and services","2025M12",6.53,"Frequency: Monthly","Repository: International Monetary Fund"
"Burundi","CPS - Consumer Price Index for households in Bujumbura","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: General - Individual consumption expenditure of households","2026M02",11.51,"Frequency: Monthly","Repository: International Monetary Fund"
"Burundi","CPS - Consumer Price Index for households in Bujumbura","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 1. Food and non-alcoholic beverages","2026M02",7.42,"Frequency: Monthly","Repository: International Monetary Fund"
"Burundi","CPS - Consumer Price Index for households in Bujumbura","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 2. Alcoholic beverages, tobacco and narcotics","2026M02",24.14,"Frequency: Monthly","Repository: International Monetary Fund"
"Burundi","CPS - Consumer Price Index for households in Bujumbura","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 3. Clothing and footwear","2026M02",37.32,"Frequency: Monthly","Repository: International Monetary Fund"
"Burundi","CPS - Consumer Price Index for households in Bujumbura","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 4. Housing, water, electricity, gas and other fuels","2026M02",12.44,"Frequency: Monthly","Repository: International Monetary Fund"
"Burundi","CPS - Consumer Price Index for households in Bujumbura","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 5. Furnishings, household equipment and routine household maintenance","2026M02",18.96,"Frequency: Monthly","Repository: International Monetary Fund"
"Burundi","CPS - Consumer Price Index for households in Bujumbura","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 6. Health","2026M02",13.62,"Frequency: Monthly","Repository: International Monetary Fund"
"Burundi","CPS - Consumer Price Index for households in Bujumbura","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 7. Transport","2026M02",7.99,"Frequency: Monthly","Repository: International Monetary Fund"
"Burundi","CPS - Consumer Price Index for households in Bujumbura","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 8. Communication","2026M02",-3.03,"Frequency: Monthly","Repository: International Monetary Fund"
"Burundi","CPS - Consumer Price Index for households in Bujumbura","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 9. Recreation and culture","2026M02",4.61,"Frequency: Monthly","Repository: International Monetary Fund"
"Burundi","CPS - Consumer Price Index for households in Bujumbura","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 10. Education","2026M02",10.3,"Frequency: Monthly","Repository: International Monetary Fund"
"Burundi","CPS - Consumer Price Index for households in Bujumbura","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 11. Restaurants and hotels","2026M02",20.88,"Frequency: Monthly","Repository: International Monetary Fund"
"Burundi","CPS - Consumer Price Index for households in Bujumbura","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 12. Miscellaneous goods and services","2026M02",15.08,"Frequency: Monthly","Repository: International Monetary Fund"
"Belgium","CPS - Consumer Price Index","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: General - Individual consumption expenditure of households","2026M02",1.45,"Frequency: Monthly","Repository: International Monetary Fund"
"Benin","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: General - Individual consumption expenditure of households","2026M02",-0.1,"Frequency: Monthly","Repository: International Monetary Fund"
"Burkina Faso","CPS - Consumer Price Index","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: General - Individual consumption expenditure of households","2026M02",0.81,"Frequency: Monthly","Repository: International Monetary Fund"
"Bangladesh","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: General - Individual consumption expenditure of households","2026M03",8.71,"Frequency: Monthly","Repository: International Monetary Fund"
"Bangladesh","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 1. Food and non-alcoholic beverages","2026M03",8.24,"Frequency: Monthly","Repository: International Monetary Fund"
"Bangladesh","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 2. Alcoholic beverages, tobacco and narcotics","2026M03",9.69,"Frequency: Monthly","Repository: International Monetary Fund"
"Bangladesh","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 3. Clothing and footwear","2026M03",9.59,"Frequency: Monthly","Repository: International Monetary Fund"
"Bangladesh","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 4. Housing, water, electricity, gas and other fuels","2026M03",8.42,"Frequency: Monthly","Repository: International Monetary Fund"
"Bangladesh","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 5. Furnishings, household equipment and routine household maintenance","2026M03",6.15,"Frequency: Monthly","Repository: International Monetary Fund"
"Bangladesh","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 6. Health","2026M03",3.69,"Frequency: Monthly","Repository: International Monetary Fund"
"Bangladesh","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 7. Transport","2026M03",7.47,"Frequency: Monthly","Repository: International Monetary Fund"
"Bangladesh","CPS - Consumer Price Survey","National consumer price index (CPI) by COICOP, percentage change from previous year (%)","COICOP2018: 8. Communication","2026M03",8.64,"Frequency: Monthly","Repository: International Monetary Fund"
